employee_id,first_name,middle_name,last_name,suffix,birth_date,place_of_birth,sex,civil_status,blood_type,citizenship,email,mobile_number,landline_number,department,designation,employment_status,appointment_date,salary_grade,step_increment,house_no,street,barangay,city,province,zip_code,gsis_no,philhealth_no,pagibig_no,tin_no,license_no
EMP-PGS-0001,ABEGAIL,A.,LIYAG,,1995-08-15,"Pagsanjan, Laguna",Female,Single,A+,Filipino,abegail.liyag@pagsanjan.gov.ph,091714236611,049-501-1000,Municipal Budget Office,Admin. Aide IV,Permanent,2021-01-01,SG-5,Step 4,143,Mabini St.,Buboy,Pagsanjan,Laguna,4008,8884111740,688009290209,084137865674,981-396-419-258,PRC-9590333
EMP-PGS-0002,ALBERT,,ELCA,,1990-10-22,"Pagsanjan, Laguna",Male,Married,B-,Filipino,albert.elca@pagsanjan.gov.ph,091712734422,049-501-1001,General Services Office,Admin Aide I,Job Order,2021-01-01,SG-1,Step 4,734,Real St.,Binan,Pagsanjan,Laguna,4008,8952424416,570826113556,016634484550,111-764-574-307,PRC-1000001
EMP-PGS-0003,ALDRIN,,BUENA,,1977-04-12,"Pagsanjan, Laguna",Male,Single,B+,Filipino,aldrin.buena@pagsanjan.gov.ph,091715035701,049-501-1002,Municipal Market Office,Admin Aide I,Job Order,2021-01-01,SG-6,Step 5,160,Quezon Ave.,Sampaloc,Pagsanjan,Laguna,4008,9999798726,567500181139,083264314522,931-538-333-996,PRC-0111727
EMP-PGS-0004,ALEX,C.,PAGUIO,,1970-03-21,"Pagsanjan, Laguna",Female,Widowed,O-,Filipino,alex.paguio@pagsanjan.gov.ph,091717371809,049-501-1003,Office of the Municipal Administrator,Mun. Administrator,Permanent,2021-01-01,SG-1,Step 8,550,Mabini St.,Lambac,Pagsanjan,Laguna,4008,7535346044,026127680911,064474784163,655-580-941-248,PRC-7269233
EMP-PGS-0005,ALEXANDRA,M.,NICANDRO,,1983-02-24,"Pagsanjan, Laguna",Female,Widowed,B-,Filipino,alexandra.nicandro@pagsanjan.gov.ph,091713413744,049-501-1004,Sangguniang Bayan,Admin. Aide III,Permanent,2021-01-01,SG-3,Step 4,792,Bonifacio St.,San Isidro,Pagsanjan,Laguna,4008,5243505366,072307064422,066526459133,178-554-104-131,PRC-1000004
EMP-PGS-0006,ALFREDO,,GONZALES,,1987-11-18,"Pagsanjan, Laguna",Female,Separated,O-,Filipino,alfredo.gonzales@pagsanjan.gov.ph,091710028795,(049) 501-7723,Municipal Environment and Natural Resources Office,Admin Aide I,Job Order,2021-01-01,SG-6,Step 4,687,Bonifacio St.,San Isidro,Pagsanjan,Laguna,4008,3677677804,088870804544,063292657894,055-597-372-639,PRC-1000005
EMP-PGS-0007,ALFREDO,M.,GONZALES,Jr.,1975-07-17,"Pagsanjan, Laguna",Male,Single,B+,Filipino,alfredo.gonzales2@pagsanjan.gov.ph,091715913607,049-501-1006,Municipal Cemetery Office,Admin. Aide I,Permanent,2021-01-01,SG-5,Step 4,702,Del Pilar St.,Poblacion,Pagsanjan,Laguna,4008,9367413446,263593335406,030157604609,968-061-577-965,PRC-1000006
EMP-PGS-0008,ALJESY,R.,PENIDO,,1970-11-14,"Pagsanjan, Laguna",Male,Widowed,A-,Filipino,aljesy.penido@pagsanjan.gov.ph,091715693800,(049) 501-2065,Municipal Planning and Development Office,Bookbinder IV,Permanent,2021-01-01,SG-10,Step 6,218,J.P. Rizal St.,Lambac,Pagsanjan,Laguna,4008,5178134406,026645166561,091447605293,262-667-361-133,PRC-1000007
EMP-PGS-0009,ALLAN,Q.,ARROYO,,1971-10-03,"Pagsanjan, Laguna",Male,Married,B-,Filipino,allan.arroyo@pagsanjan.gov.ph,091710942532,049-501-1008,Sangguniang Bayan,SB Member,Permanent,2021-01-01,SG-23,Step 5,765,Real St.,Casinsin,Pagsanjan,Laguna,4008,4218854861,026444126807,058534148214,463-611-186-031,PRC-1000008
EMP-PGS-0010,ALMA,L.,ESTRELLA,,1985-05-10,"Pagsanjan, Laguna",Female,Married,AB-,Filipino,alma.estrella@pagsanjan.gov.ph,091714088540,(049) 501-8108,Municipal Accounting Office,Bookkeeper III,Permanent,2021-01-01,SG-1,Step 2,157,Burgos St.,Lambac,Pagsanjan,Laguna,4008,3528457152,773130925932,073786912311,229-225-685-897,PRC-1000009
EMP-PGS-0011,ALVAN,NIÑO R.,MACAROYO,,1975-05-22,"Pagsanjan, Laguna",Male,Separated,O+,Filipino,alvan.macaroyo@pagsanjan.gov.ph,091711272402,049-501-1010,Human Resource Management Office,Admin. Aide III,Permanent,2021-01-01,SG-3,Step 2,699,Bonifacio St.,Sampaloc,Pagsanjan,Laguna,4008,7753923615,793201838137,071641681867,598-864-999-695,PRC-6089113
EMP-PGS-0012,ALVIN,DELA,CRUZ,,1983-05-05,"Pagsanjan, Laguna",Male,Widowed,B+,Filipino,alvin.cruz@pagsanjan.gov.ph,091710799198,049-501-1011,Municipal Health Office,Admin. Aide III,Permanent,2021-01-01,SG-3,Step 5,862,Quezon Ave.,Calaan,Pagsanjan,Laguna,4008,9109427909,158074095005,088253016255,503-165-988-787,PRC-1000011
EMP-PGS-0013,ALVIN,L.,VILLANUEVA,,1970-12-03,"Pagsanjan, Laguna",Male,Single,A+,Filipino,alvin.villanueva@pagsanjan.gov.ph,091714912692,049-501-1012,Municipal Budget Office,Bookbinder IV,Permanent,2021-01-01,SG-8,Step 1,115,Del Pilar St.,Maulawin,Pagsanjan,Laguna,4008,3917235502,665228049732,038855598386,342-181-134-222,PRC-1000012
EMP-PGS-0014,ANDREI,S.,CRUZ,,1980-05-28,"Pagsanjan, Laguna",Female,Separated,A-,Filipino,andrei.cruz@pagsanjan.gov.ph,091717755927,049-501-1013,Municipal Health Office,Nurse II,Permanent,2021-01-01,SG-9,Step 3,132,J.P. Rizal St.,Buboy,Pagsanjan,Laguna,4008,7665870123,984883098224,046977201538,321-574-865-180,PRC-2256552
EMP-PGS-0015,ANDRES,H.,SIERAS,,1985-03-28,"Pagsanjan, Laguna",Male,Single,B-,Filipino,andres.sieras@pagsanjan.gov.ph,091716926546,049-501-1014,Sangguniang Bayan Secretariat,Bookbinder IV,Permanent,2021-01-01,SG-4,Step 5,409,Del Pilar St.,Sabang,Pagsanjan,Laguna,4008,4401798171,428100863267,041378744346,917-615-269-338,PRC-1000014
EMP-PGS-0016,ANDRES,H.,SIERRAS,,1999-09-03,"Pagsanjan, Laguna",Male,Single,O-,Filipino,andres.sierras@pagsanjan.gov.ph,091710784642,(049) 501-5049,Sangguniang Bayan,Admin Aide I,Job Order,2021-01-01,SG-9,Step 4,603,Quezon Ave.,Poblacion,Pagsanjan,Laguna,4008,0249843710,085698478368,047869354122,874-829-125-813,PRC-4823687
EMP-PGS-0017,ANGELICA,J.,CABREGA,,1981-02-17,"Pagsanjan, Laguna",Female,Single,B-,Filipino,angelica.cabrega@pagsanjan.gov.ph,091712184091,(049) 501-9569,Office of the Municipal Mayor,Executive Asst. II,Permanent,2021-01-01,SG-1,Step 6,73,Quezon Ave.,Maulawin,Pagsanjan,Laguna,4008,9381973740,699157994996,054858198256,483-227-098-377,PRC-1000016
EMP-PGS-0018,ANGELO,B.,RIVERA,,1998-10-08,"Pagsanjan, Laguna",Male,Separated,B-,Filipino,angelo.rivera@pagsanjan.gov.ph,091714268077,049-501-1017,Municipal Market Office,Laborer II,Permanent,2021-01-01,SG-7,Step 4,97,Mabini St.,Lambac,Pagsanjan,Laguna,4008,2480116819,445400938574,004159866534,816-903-850-222,PRC-1000017
EMP-PGS-0019,ANNA,LINDA J.,CABREGA,,1976-09-17,"Pagsanjan, Laguna",Female,Single,A-,Filipino,anna.cabrega@pagsanjan.gov.ph,091710205001,(049) 501-5197,Sangguniang Bayan Secretariat,SB Secretary,Permanent,2021-01-01,SG-6,Step 2,255,Quezon Ave.,Binan,Pagsanjan,Laguna,4008,6397427537,357723851684,066049483975,021-308-532-277,PRC-1000018
EMP-PGS-0020,ARGELYN,,DAVAC,,1983-07-04,"Pagsanjan, Laguna",Female,Married,O+,Filipino,argelyn.davac@pagsanjan.gov.ph,091714633025,049-501-1019,Municipal Social Welfare and Development Office,Admin Aide I,Casual,2021-01-01,SG-2,Step 8,828,Mabini St.,Poblacion,Pagsanjan,Laguna,4008,9263873805,983752224889,040960932046,559-958-393-271,PRC-1000019
EMP-PGS-0021,ARGIE,C.,DIMARANAN,,1981-11-12,"Pagsanjan, Laguna",Male,Single,B-,Filipino,argie.dimaranan@pagsanjan.gov.ph,091710642973,(049) 501-1569,Municipal Disaster Risk Reduction and Management Office,Admin. Aide IV,Permanent,2021-01-01,SG-7,Step 8,219,Real St.,Poblacion,Pagsanjan,Laguna,4008,1846580772,753903481456,085728502518,791-102-405-911,PRC-2268058
